CreateTime,Des,Emotions
1646272661,1,消极
1646272667,0,中性
1646272692,1,积极
1646273370,1,积极
1646273416,0,积极
1646273456,0,中性
1646275017,1,中性
1646275020,1,积极
1646275021,0,中性
1646275139,0,消极
1646275156,0,中性
1646275166,0,消极
1646275187,0,积极
1646275230,1,中性
1646275468,0,中性
1646275703,1,消极
1646275709,0,积极
1646275713,0,中性
1646276945,1,消极
1646276953,1,中性
1646276958,0,积极
1646276960,0,积极
1646276997,1,积极
1646277028,0,积极
1646277033,0,中性
1646277057,0,中性
1646277178,1,积极
1646277271,0,积极
1646279919,0,中性
1646279930,1,消极
1646280058,0,中性
1646280060,0,积极
1646284083,1,积极
1646284085,1,中性
1646284095,0,中性
1646285370,0,中性
1646285684,1,积极
1646286938,1,消极
1646286943,1,积极
1646286959,0,中性
1646286962,0,积极
1646286967,0,积极
1646286976,0,积极
1646287100,1,中性
1646287201,0,中性
1646287208,1,积极
1646287214,0,积极
1646287283,1,积极
1646287362,0,积极
1646287370,0,中性
1646287533,0,积极
1646287664,1,中性
1646321324,1,积极
1646321343,0,积极
1646321372,0,积极
1646323175,0,中性
1646323184,1,中性
1646323195,0,积极
1646323199,0,积极
1646323210,0,积极
1646324561,1,积极
1646324715,1,消极
1646324803,0,中性
1646324805,0,积极
1646324811,0,中性
1646324816,0,消极
1646324834,1,积极
1646324851,1,积极
1646327117,1,积极
1646327125,1,积极
1646327395,0,积极
1646327404,0,积极
1646327414,0,中性
1646350082,1,积极
1646350363,0,中性
1646350679,1,积极
1646351140,1,积极
1646351491,0,积极
1646351501,0,中性
1646351508,1,积极
1646351768,1,中性
1646351776,1,积极
1646352022,0,积极
1646352025,0,中性
1646352052,0,积极
1646352055,0,积极
1646352056,1,积极
1646352077,0,积极
1646352605,1,积极
1646352627,0,积极
1646353182,1,消极
1646353256,0,中性
1646353275,1,中性
1646353313,0,积极
1646353522,0,积极
1646353540,0,中性
1646353553,1,积极
1646353560,1,中性
1646353584,0,积极
1646355537,1,积极
1646355544,1,积极
1646355554,0,积极
1646355558,0,积极
1646355566,0,积极
1646355573,0,积极
1646355581,1,积极
1646355584,0,积极
1646355874,1,中性
1646355892,0,中性
1646355904,0,中性
1646355984,1,积极
1646355991,0,消极
1646355994,0,积极
1646355997,1,中性
1646356005,0,积极
1646356011,0,消极
1646356013,0,消极
1646356235,1,消极
1646356246,0,积极
1646356276,1,中性
1646356286,1,中性
1646356292,0,中性
1646356297,0,积极
1646362872,1,积极
1646362880,0,消极
1646362882,1,中性
1646362886,0,积极
1646362913,1,积极
1646362929,0,积极
1646364780,1,积极
1646366095,1,中性
1646366103,0,中性
1646366110,0,积极
1646366115,0,中性
1646366133,1,积极
1646366430,1,中性
1646366435,1,中性
1646366441,0,中性
1646366445,0,中性
1646366451,0,中性
1646366481,1,中性
1646366495,0,消极
1646366568,0,中性
1646366570,1,中性
1646366576,0,积极
1646366583,0,中性
1646366586,1,中性
1646366595,0,积极
1646366604,0,中性
1646366636,1,消极
1646366641,1,中性
1646366643,0,积极
1646366646,0,中性
1646366655,1,中性
1646366678,0,中性
1646367534,0,中性
1646367548,1,中性
1646367556,0,消极
1646368073,1,积极
1646368078,1,中性
1646368548,0,中性
1646369144,1,积极
1646369567,0,积极
1646369571,0,积极
1646373887,1,消极
1646373898,0,积极
1646381086,0,消极
1646381412,0,消极
1646381423,0,消极
1646381612,1,中性
1646381617,1,积极
1646381628,0,消极
1646381646,1,积极
1646381651,1,中性
1646381655,0,消极
1646381671,1,积极
1646381799,0,积极
1646381842,0,中性
1646381863,0,消极
1646381894,0,积极
1646381916,0,消极
1646383911,1,中性
1646383941,0,积极
1646383950,1,积极
1646383963,0,中性
1646383971,1,积极
1646383975,0,积极
1646383982,1,中性
1646383985,0,中性
1646383996,1,积极
1646383998,0,积极
1646384798,0,消极
1646384813,0,中性
1646384868,0,中性
1646384902,0,消极
1646384914,0,中性
1646386049,1,中性
1646386052,1,消极
1646386064,0,消极
1646386080,0,消极
1646386085,0,中性
1646386102,0,中性
1646386332,1,积极
1646386354,0,中性
1646386359,1,中性
1646386363,0,中性
1646386378,0,消极
1646386490,1,中性
1646386509,0,中性
1646387468,0,中性
1646387472,0,积极
1646387509,1,中性
1646387521,1,积极
1646387548,0,积极
1646387780,1,中性
1646387850,0,中性
1646387858,1,中性
1646387886,1,积极
1646387891,1,中性
1646387898,0,消极
1646387901,0,消极
1646387905,0,积极
1646387911,1,积极
1646387913,1,积极
1646387920,0,中性
1646387924,0,中性
1646387929,1,中性
1646387930,0,中性
1646387934,1,积极
1646387939,0,积极
1646387950,0,中性
1646387955,1,积极
1646387972,0,中性
1646387974,0,消极
1646387992,0,积极
1646388038,1,中性
1646393922,1,消极
1646393928,0,积极
1646393954,1,积极
1646407789,0,中性
1646407811,1,积极
1646407819,1,中性
1646407826,0,中性
1646407832,0,积极
1646407890,1,积极
1646407931,1,中性
1646407935,1,积极
1646407941,1,中性
1646407955,0,中性
1646407958,1,中性
1646407973,0,中性
1646407980,0,中性
1646407987,0,中性
1646408000,0,中性
1646408040,1,中性
1646408042,0,中性
1646408054,0,中性
1646408065,0,中性
1646408091,0,中性
1646408098,0,消极
1646408110,1,积极
1646408506,0,积极
1646409407,1,积极
1646409451,0,积极
1646409665,1,积极
1646409723,0,积极
1646409732,0,积极
1646409978,1,中性
1646409980,1,中性
1646409993,1,积极
1646409994,1,积极
1646409999,1,中性
1646410006,0,中性
1646410011,0,积极
1646410065,0,积极
1646410072,0,中性
1646410138,1,中性
1646410139,1,积极
1646410145,1,中性
1646410147,0,中性
1646410149,0,中性
1646410162,0,中性
1646410587,1,积极
1646410596,0,积极
1646410603,0,积极
1646410608,0,积极
1646410666,0,积极
1646410679,0,中性
1646410814,0,积极
1646410829,0,中性
1646410865,0,积极
1646410881,0,中性
1646411059,1,中性
1646411076,0,积极
1646411355,1,积极
1646411439,0,积极
1646411616,1,消极
1646411624,0,消极
1646411626,0,中性
1646411647,1,中性
1646411667,0,积极
1646411725,1,中性
1646411734,1,积极
1646411746,0,中性
1646411761,0,积极
1646411765,0,中性
1646411766,1,消极
1646411773,1,积极
1646411836,0,中性
1646411885,1,中性
1646411889,1,中性
1646411896,1,中性
1646411916,0,中性
1646411946,1,中性
1646411973,0,积极
1646411979,0,积极
1646411984,0,中性
1646411993,0,中性
1646411995,0,中性
1646412001,0,积极
1646412003,0,中性
1646412039,1,中性
1646412053,0,中性
1646412062,0,积极
1646412067,0,中性
1646412078,0,消极
1646412089,0,消极
1646412125,0,消极
1646412137,1,消极
1646412158,1,积极
1646412183,0,中性
1646412187,0,中性
1646412193,0,积极
1646412275,0,中性
1646412283,0,积极
1646412289,0,中性
1646412297,0,中性
1646412299,0,积极
1646412302,0,中性
1646412331,1,积极
1646412337,1,中性
1646412355,0,消极
1646412362,0,积极
1646412370,0,消极
1646412376,0,中性
1646412382,0,中性
1646412385,0,中性
1646412459,1,消极
1646412475,0,中性
1646412476,1,中性
1646412489,0,消极
1646412499,0,中性
1646412503,0,中性
1646412523,1,积极
